# Angular Correlation W(0) for distance_1.0
# beta_index  eff_1.17     err_1.17     eff_1.33     err_1.33
Final result : W(0) = 1.01929 ± 0.000154733
1.405034          0.000000    0.000000    0.000000    0.000000
1.412927          0.000000    0.000000    0.000000    0.000000
1.420821          0.000000    0.000000    0.000000    0.000000
1.428714          0.000000    0.000000    0.000000    0.000000
1.436608          0.000000    0.000000    0.000000    0.000000
1.444501          0.000000    0.000000    0.000000    0.000000
1.452395          0.000000    0.000000    0.000000    0.000000
1.460288          0.000000    0.000000    0.000000    0.000000
1.468181          0.000000    0.000000    0.000000    0.000000
1.476075          0.000000    0.000000    0.000000    0.000000
1.483968          0.000000    0.000000    0.000000    0.000000
1.491862          0.000000    0.000000    0.000000    0.000000
1.499755          0.000000    0.000000    0.000000    0.000000
1.507649          0.000000    0.000000    0.000000    0.000000
1.515542          0.000000    0.000000    0.000000    0.000000
1.523436          0.000000    0.000000    0.000000    0.000000
1.531329          0.000000    0.000000    0.000000    0.000000
1.539223          0.000000    0.000000    0.000000    0.000000
1.547116          0.000000    0.000000    0.000000    0.000000
1.555009          0.000000    0.000000    0.000000    0.000000
1.562903          0.000000    0.000000    0.000000    0.000000
1.570796          0.000000    0.000000    0.000000    0.000000
